Locality;Human remains;Faunal remains;Stone tools;Organic tools;Symbolic Artifacts;Fire evidence;Summary;x;y;x_ingame;y_ingame
Koobi Fora (27);150;65;23;0;0;2;Koobi Fora is a large-scale site area located at the eastern shore of Lake Turkana, northern Kenia. The so-called Koobi Fora Formation is 565 m thick and includes deposits from the Pliocene to the Pleistocene. Volcanic ash layers divide the deposits into 8 Members with an age range from 4 to 1.4 Ma BP. Koobi Fora is well known for its numerous paleontological finds, including various hominin remains. The site is divided into different find areas. Lithic assemblages are documented in Areas 105, 112, 118, 129 130, 133 and 8A.;36;4;743.82684025974;536.58008701299
Kudu Koppie;0;0;1;0;0;0;Kudu Koppie is located in the northern Limpopo province. Following initial test pits in 2003 by Le Baron, systematic excavations were undertaken between 2004 and 2007. The stratigraphy is more than 2 meters thick and described in sections. Lithic artifacts show that the site was occupied during the ESA, MSA and the LSA while the numbers of lithic artifacts are remarkably high in the ESA and MSA.;29;-22;653.75897402597;191.84763636364
Ledi-Geraru Loc. BD 1;0;0;2;0;0;0;Locality BD 1 is a small open air site in the Ledi-Geraru Research Project (LGRP) area. According to micromorphological observations the oldowan artefacts were deposited on an exposed clay surface within a lacustrine sequence. Magnetostratigraphy and an underlying dated tuff suggest an age older than 2.58 Ma.;41;11;803.49767532468;628.55277922078
Leeuwkuil;0;0;1;0;0;0;Leeuwkuil is is located SW of Vereeniging in Guateng and it is one of several large quarries opend by the Vereeniging Brick & Tile Company on the farm Leeuwkuil No. 81. The site contains an early Acheulean assemblage of 97 artifacts randomly collected from the disturbed gravel deposits.;28;-27;635.05324675325;133.65454545455
Luangwa Valley;0;0;2;0;0;0;Luangwa Valley is a 700 km long extension of the western branch of the East African Rift Valley. Excavations between 2003 and 2008 produced a sequence of 4.5 m in depth. The deposits yielded lithic assemblages designated to the Olduwan and to the MSA.;32;-13;684.20634805195;309.09812987013
Makapansgat;46;4;0;0;0;0;Makapansgat is a cave site located around 20 km NE of Mokopane in the Limpopo Province. Numerous human remains attributed to Australopithecus africanus were found associated with faunal remains and a Jasper pebble with a natural pattern looking like a human face. The site dates to 3-2 Ma PB, and it is part of the cradle of humankind.;29;-24;651.81090909091;167.00425974026
Mansourah;0;1;3;0;0;0;Mansourah is an open air site on the plateau de Mansourah located SE of the city of Constantine. Stratified sands yielded lithic assemblages from Olduwan, Acheulean and Mousterian. The Olduwan industry is associated with fauna of large mammals. The site documents a very early human occupation of North Africa.;7;36;358.44155844156;952.5974025974
Manzi River;0;0;2;0;0;0;Manzi River is located in the Luangwa Valley where the Manzi River, an ephemeral tributary of the Luangwa River, has exposed an archaeological section. Mode 1 cores and flakes were found eroding out from gravel deposits exposed by the Manzi River. The artifact density was very low, and the lithics are attributed to the ESA and the MSA.;32;-13;684.20742857143;309.09596103896
Melka Kunture (6);2;8;15;0;0;0;Melka Kunture is a cluster of more than 30 prehistoric sites in the Upper Awash valley, about 50 km S of Addis Ababa. Garba IV is an Olduwan and Early Acheulean site with lithic assemblages, fauna and human remains.;38;9;761.47186103896;593.29004285714
Middle Awash Bodo;0;0;6;0;0;0;Bodo is an Acheulean site within the Middle Awash Study Area, a widespread palaeoanthropological and archaeological research area on both sides of the Awash River on the SW edge of the Afar Depression. Bodo contains lithic artifacts and vertebrate fossils, including human remains. Famous is the so called "Bodo skull" found in 1976.;41;11;799.24242467532;618.50649350649
Mwimbi;0;1;1;0;0;0;Mwimbi is located within the Plio-Pleistocene Chiwondo Beds, and it is part of the Malawi Rift Valley in northern Malawi. It covers an area of 5 x 2 km. A small lithic assemblage was collected from Chiwondo Beds Unit 3, designated to the ESA. The area contained numerous fossil remains.;34;-10;713.8961038961;348.87806623377
Nachukui Fm. (4);12;7;7;0;0;0;Kokiselei is an Early Pleistocene archeological site complex within the sediments of the Nachukui formation exposed along the NW shoreline of modern Lake Turkana in Kenya. It is named after the major river near which it is located, and it consists of five sites, in this chronological order: KS1, KS2, KS5, KS3, KS4. Lithic assemblages are coming from KS1 and KS2 (Oldowan), KS4 (Early Acheulean) and KS5 (Oldowan), faunal remains from KS1 and KS2 and all human remains are coming from KS1.;36;4;737.29437272727;532.01298701299
Olduvai Gorge DK site;0;0;2;0;0;0;Olduvai Gorge DK site is one of numerous archeological sites in the East African Rift Valley. DK site is situated on the eastern lake margin. It is, together with MK and the lowest level at FLK NN, one of the earliest sites at Oldovai Gorge. The assemblage includes human and faunal remains, lithics and a stone construction.;35;-3;732.03463246753;441.77489220779
Oued Doure;0;0;1;0;0;0;Oued Douré is located about 3 km south of Digri in the Ali Sabieh region of Djibouti. In1990 and 1992 surface collections and small sondages were undertaken. The stratigraphy includes eight units (Niveau A-H), four of them yielded Acheulean lithic assemblages.;43;11;830.55288311688;626.10462337662
Peninj;1;1;10;0;0;0;Peninj is located west of Lake Natron. Research has been carried out in three geographical areas: North Escarpment (NE), South Escarpment (SE) and Type Section (ST). NE and SE are more distant to the former paleo-lake and yielded Acheulean lithic artifacts but no faunal remains. ST is situated in a deltic paleo-environment, close to the former lake shore. Numerous find spots preserved dense concentrations of bones and lithic artifacts designated to the Oldowan industry. The site is well known for an almost complete mandible from of Paranthropus boisei.;36;-2;739.39393896104;451.94805194805
Pniel 6;0;0;1;0;0;0;Pniel 6 is located 30 km from Kimberly towards Barkly West on the south bank of a meander of the Vaal river in the Northern Cape Region. Archeological artifacts were first described in the 1930s. In the 1980s, Peter Beaumont collected larger quantities of the exposed ESA artifacts and the associated fauna. The available information we used about the findings from the site is coming from Helgren 1978, Beaumont 1992 and from the new excavations published by Ecker et al. 2021. Beside the Acheulian there are artifacts coming from the Fauresmith, Mossel Bay and from the LSA.;25;-29;591.96788311688;108.98955844156
Powers Site;0;0;1;0;0;0;Power's Site is located at the present river bed at the boundary between Pniel Estate and the Farm Nooitgedacht in the Northern Cape. It is named after J. H. Power, its discoverer and collector. The archeological stratigraphy contains lithic assemblages designated to Acheulean, Fauresmith and MSA.;25;-29;592.21546753247;109.0448961039
Sandspruit No.1;0;0;1;0;0;0;Sandspruit No.1 is located about 1.5 km from the town of Utrecht on the road to Dundee. It was discovered in 1947 during a survey tour in the Natal and a collection of implements and artifacts were done by the team consisting of Riet Lowe, Abbé Breuil, Boden and Malan. The collection includes an Acheulena and an MSA lithic assemblage.;30;-28;666.31168831169;121.06048051948
Sterkfontein;185;4;1;0;0;0;Sterkfonteinis a row of karstic caves next to the town of Krugersdorp, NW of Johannesburg in the Gauteng province. The caves are of special interest because of the large amount of human fossils they were bearing. The site also yielded Oldowan, Acheulean and MSA lithic assemblages and additional faunal remains. Sterkafontain is part of the "Cradle of Humankind" since 1999.;28;-26;632.91620779221;142.65335064935
Wonderwerk;0;0;1;0;0;0;Wonderwerk cave is located in the eastern flanks of the Kuruman Hills, in the northern Cape Province. Excavations in different areas of the cave provided different profiles with different archeological units. Generally, Wonderwerk caveprovides a whole sequence from the ESA to the LSA. Beside lithic assemblages from these cultural sequences there is an evidence of burning from the Acheulean, ochre and specularite including pieces with incisions from the Fauresmith and MSA and faunal remains.;24;-28;578.62122077922;118.87731168831
